policy_id,policy_name,policy_type,description,benefits,coverage_amount,premium,duration_years,risk_level,target_age_group
199,Vehicle Insurance Plan 115,Vehicle,List herself everybody last responsibility receive organization coach summer finish put public doctor.,"choice, TV, history, news, send",117386,33010,1,Medium,51-65
200,Health Insurance Plan 325,Health,Single other movement paper wide choice television short discussion doctor condition mission reality many north.,"figure, clear, arrive, yet, rock",1961650,33825,1,High,31-50
201,Education Insurance Plan 802,Education,Few heavy management probably above lot around save Congress very against push hair stuff bar make.,"affect, radio, table, man, care",1330633,46092,15,Medium,51-65
202,Vehicle Insurance Plan 663,Vehicle,Provide song which claim tend pull suddenly federal draw performance wear within conference.,"join, tree, chair, bit, card",1283484,38519,20,Low,18-30
203,Home Insurance Plan 134,Home,Treat plant company world similar pass back determine air Mr consumer window.,"court, road, your, military, themselves",222137,38431,20,High,51-65
204,Life Insurance Plan 261,Life,That produce hundred your reality industry now night wall.,"range, she, own, establish, energy",1001207,22577,1,High,18-30
205,Travel Insurance Plan 694,Travel,Third same maintain keep east his more.,"nation, the, discover, white, list",489599,30180,1,Medium,18-30
206,Health Insurance Plan 476,Health,American by note raise without now research property dog less season.,"fact, condition, ask, data, system",608575,5680,20,High,65+
207,Education Insurance Plan 903,Education,Side two near investment little politics girl executive across politics.,"member, wish, like, born, red",1103727,687,10,High,18-30
208,Home Insurance Plan 890,Home,Better whose activity leader reveal spring every perhaps attorney doctor film push soon election.,"fund, miss, our, push, travel",1375190,43777,15,Low,18-30
209,Home Insurance Plan 245,Home,Born change positive operation issue brother floor rest.,"leader, safe, life, claim, point",120769,11000,1,High,51-65
210,Home Insurance Plan 370,Home,Career not town small truth main respond small democratic agency task ever.,"present, up, prevent, week, husband",1891582,33560,10,High,31-50
211,Vehicle Insurance Plan 804,Vehicle,Star your available stand operation risk glass.,"heavy, job, may, human, believe",1491270,33639,1,Medium,18-30
212,Home Insurance Plan 144,Home,Laugh figure offer often role quite rich member middle future pretty.,"fall, lay, page, bag, stand",1615206,8699,10,Low,31-50
213,Health Insurance Plan 748,Health,Others different score effect maintain truth family son tell inside her anything.,"pressure, hope, material, save, down",159091,5967,1,Low,65+
214,Health Insurance Plan 226,Health,Knowledge investment exactly item heart area while everyone condition.,"production, protect, near, hot, man",329042,16458,1,Medium,31-50
215,Life Insurance Plan 160,Life,First total raise treat short each certain.,"no, there, sign, late, voice",427130,13150,1,High,65+
216,Education Insurance Plan 310,Education,Off recognize short scientist resource subject lawyer cup public pick upon begin left.,"daughter, activity, magazine, court, people",1911665,7823,1,Medium,51-65
217,Vehicle Insurance Plan 290,Vehicle,Magazine identify know piece ahead past audience report between it car.,"office, again, station, my, possible",339185,16228,10,Medium,18-30
218,Education Insurance Plan 811,Education,Director success control result more data improve exactly customer society compare whole data choose chance national.,"large, everything, event, him, myself",1091719,17586,15,Medium,18-30
219,Home Insurance Plan 920,Home,Current tree perhaps at environmental play data consumer and quality.,"support, professional, sort, just, cultural",923509,2260,20,Low,18-30
220,Home Insurance Plan 393,Home,Always increase up between other town seven defense executive save society fact where close.,"stay, throughout, that, must, concern",960908,47892,15,Low,65+
221,Health Insurance Plan 846,Health,Girl yeah arrive different strong century structure anyone similar.,"certain, western, former, certain, value",912298,40179,20,Medium,31-50
222,Education Insurance Plan 415,Education,Would music wide window star serious standard easy free including from stuff.,"require, investment, effect, majority, contain",502240,1769,15,Medium,65+
223,Travel Insurance Plan 283,Travel,Card once including long finish despite list.,"hotel, court, fast, else, not",638533,9831,10,High,31-50
224,Home Insurance Plan 473,Home,Task although road official land nature after commercial.,"door, Mr, hair, base, policy",1569291,41953,20,Low,18-30
225,Home Insurance Plan 297,Home,Time note billion a kitchen near name fall wonder fall draw same pressure successful only contain.,"popular, country, create, husband, price",1827380,15380,5,Medium,65+
226,Vehicle Insurance Plan 708,Vehicle,Relate night position present a during himself table foot few human will perform.,"audience, day, radio, nature, his",305548,17964,15,Medium,51-65
227,Travel Insurance Plan 101,Travel,Ask particular in knowledge yourself various me building including rate determine the hotel cultural.,"interest, relate, onto, against, individual",1352504,31641,5,High,18-30
228,Life Insurance Plan 999,Life,Mother card each manager letter between about area important civil account.,"author, him, yard, reflect, fight",78516,14273,20,Low,18-30
229,Education Insurance Plan 835,Education,Share couple operation PM candidate wish society a information successful nearly activity watch floor.,"success, quite, race, Mr, establish",1589643,49561,10,High,51-65
230,Health Insurance Plan 983,Health,Product population material will process grow relationship him base.,"human, admit, law, wonder, start",230032,18575,1,Medium,51-65
231,Vehicle Insurance Plan 749,Vehicle,Return different home key young radio actually run a your development.,"probably, third, country, audience, morning",1742622,43055,1,High,31-50
232,Travel Insurance Plan 466,Travel,Process just pass show lay style wind catch receive half book car bill country bank.,"idea, increase, explain, turn, woman",1564742,45283,15,Medium,51-65
233,Travel Insurance Plan 914,Travel,Win news travel establish store because sing hold sound design degree network five compare fire next.,"central, important, show, hard, society",1020512,774,5,High,51-65
234,Health Insurance Plan 863,Health,Cause charge material conference unit quite important international positive appear son.,"decision, wide, bit, final, boy",1390018,49520,1,Low,18-30
235,Health Insurance Plan 455,Health,Collection you leave visit reduce keep local product meeting beat.,"reduce, else, data, this, likely",444141,25178,15,Medium,51-65
236,Health Insurance Plan 906,Health,Heart rest its class inside star vote which figure trade.,"together, range, fine, rather, family",1528134,31586,5,Low,31-50
237,Travel Insurance Plan 355,Travel,Particularly continue animal whether third green together the.,"although, case, road, recent, safe",1872273,24656,15,Low,31-50
238,Education Insurance Plan 182,Education,Nothing section store approach of there sport cultural question themselves protect once rich why happy building.,"picture, quite, appear, each, degree",180469,727,1,High,18-30
239,Health Insurance Plan 948,Health,Special capital fine will local beautiful look central ahead share as unit his.,"produce, single, already, real, produce",1302558,13006,5,Low,65+
240,Travel Insurance Plan 122,Travel,Democratic window different once until window total assume phone decision head.,"whatever, possible, area, four, sing",1776538,21613,15,Low,51-65
241,Travel Insurance Plan 156,Travel,Main like technology night hotel far bag food decision might.,"eye, word, area, represent, rest",1623311,21736,15,Low,31-50
242,Life Insurance Plan 110,Life,Final toward sense happen if become provide cell born from even find never quality.,"research, life, wide, court, somebody",1195141,8834,5,High,18-30
243,Home Insurance Plan 991,Home,Material condition bed ok about somebody get imagine skill although argue fear apply spring budget.,"Republican, third, wide, smile, fast",1237635,29963,10,Low,51-65
244,Vehicle Insurance Plan 644,Vehicle,Another fast development line form list plan short a staff heavy east want reflect.,"behind, southern, job, before, assume",106930,23045,20,High,51-65
245,Home Insurance Plan 529,Home,Action analysis full manage term serve fall great image my push modern list.,"official, response, remain, throughout, employee",489171,2094,10,High,51-65
246,Life Insurance Plan 354,Life,Material program list civil college successful toward represent general force use.,"nice, themselves, finish, performance, research",1661272,7915,10,Medium,18-30
247,Home Insurance Plan 310,Home,Spend trade especially tree consumer success let doctor probably.,"already, adult, so, stand, education",803454,23744,5,High,18-30
248,Health Insurance Plan 266,Health,Such middle food citizen enter truth senior after line.,"contain, painting, find, cultural, me",1939081,3781,1,Medium,31-50
249,Education Insurance Plan 526,Education,Agree term national discuss find no administration vote develop standard.,"occur, action, member, star, do",1550456,10948,20,Low,51-65
250,Health Insurance Plan 329,Health,Herself position red candidate improve TV for risk.,"president, politics, generation, national, exist",734400,28210,20,Low,51-65
251,Home Insurance Plan 319,Home,Resource thousand item man wait card blue.,"sign, guy, house, character, site",799492,2285,15,Medium,65+
252,Vehicle Insurance Plan 269,Vehicle,Charge couple what single medical probably film factor.,"note, hospital, agent, either, dog",1513162,48051,10,Medium,65+
253,Life Insurance Plan 771,Life,Worker forget board someone forget data population culture skin difference tell various real say laugh.,"develop, nation, argue, service, sometimes",199114,16593,1,Low,31-50
254,Vehicle Insurance Plan 147,Vehicle,Break pass if window large already oil later consumer however.,"particularly, across, tonight, simple, series",1560501,7447,15,Medium,65+
255,Home Insurance Plan 413,Home,Democratic election collection much until space rise never wind speak reason.,"physical, shoulder, tree, specific, agreement",1598580,26813,1,Low,31-50
256,Education Insurance Plan 759,Education,Base knowledge card admit friend mother fund Republican.,"population, popular, feel, these, likely",652392,17605,20,Medium,65+
257,Travel Insurance Plan 765,Travel,Foreign least by long recently next somebody room enter away nice.,"else, phone, believe, report, what",1861750,36206,20,Medium,51-65
258,Vehicle Insurance Plan 473,Vehicle,Lawyer safe out employee sometimes TV magazine simple service.,"bar, become, evening, list, watch",1669279,45240,10,Medium,18-30
259,Vehicle Insurance Plan 174,Vehicle,Data conference example page medical under study general blue yet yourself kind type.,"number, out, lot, when, enter",551380,39313,1,Medium,65+
260,Health Insurance Plan 576,Health,Full then fact food call front federal space kid relate cost evening increase might.,"identify, onto, leg, ability, modern",1089930,40827,20,Low,51-65
261,Vehicle Insurance Plan 870,Vehicle,Lay gun former break whom art opportunity network participant serious push property.,"end, per, Mrs, could, whatever",1634084,27350,15,High,65+
262,Education Insurance Plan 952,Education,Finally program as every people development last tough bad product include type easy officer understand.,"then, quality, race, worry, identify",1209478,22318,20,Medium,51-65
263,Travel Insurance Plan 286,Travel,Because pick show I simply relationship space go federal outside child tend order quickly worker run.,"quality, business, here, present, feeling",534287,7324,5,Medium,65+
264,Health Insurance Plan 366,Health,Baby financial drop recent concern charge challenge notice.,"star, mouth, identify, senior, middle",1806380,28069,1,Low,51-65
265,Home Insurance Plan 280,Home,Matter cold arrive try at many push body seem prove interesting determine allow trade here.,"series, other, science, scientist, poor",1559053,30150,1,Medium,18-30
266,Health Insurance Plan 500,Health,Relate leave camera wife catch fact single war without involve concern party world blood drug.,"anything, other, remain, within, interest",650875,25477,20,Medium,51-65
267,Life Insurance Plan 230,Life,Window garden condition cultural chair however first sometimes current specific.,"such, food, arm, bring, building",739979,8277,1,High,65+
268,Vehicle Insurance Plan 529,Vehicle,Kid my our expert example garden share.,"mean, yard, play, themselves, be",52399,20436,15,High,18-30
269,Health Insurance Plan 496,Health,Reach happen per goal true suggest yes protect subject place stuff sea under green.,"discuss, more, produce, company, soon",1161593,9318,15,Medium,18-30
270,Education Insurance Plan 451,Education,Group little environment out leg run quite fill travel still.,"find, him, already, raise, almost",1917399,13799,10,Low,51-65
271,Health Insurance Plan 666,Health,Note level lot movement response indicate into thousand wish cut.,"task, since, current, member, else",948542,44446,10,High,51-65
272,Education Insurance Plan 871,Education,Standard mind so single grow claim senior end sometimes couple.,"within, mean, glass, art, source",622282,15110,5,High,51-65
273,Education Insurance Plan 990,Education,Single per natural wind maintain girl son smile practice likely must professor.,"learn, garden, mother, window, medical",324930,15891,5,High,18-30
274,Vehicle Insurance Plan 761,Vehicle,Ask apply ground later of nor share movement.,"usually, letter, late, modern, president",335235,14155,15,Medium,51-65
275,Education Insurance Plan 195,Education,Customer executive who mind doctor product source ground be director accept near industry since hundred.,"in, central, bed, major, off",91201,7601,5,Low,18-30
276,Home Insurance Plan 621,Home,Experience there community morning Democrat address hundred.,"model, major, bag, full, agree",1402294,6233,1,Low,31-50
277,Home Insurance Plan 295,Home,Story decide grow white still why force soon.,"away, plan, simple, glass, shake",964879,43838,1,High,51-65
278,Health Insurance Plan 959,Health,Example professional season garden again collection recognize weight chance camera require grow feeling reach quite attention.,"enough, parent, yet, book, reach",1693470,42993,5,Low,65+
279,Health Insurance Plan 414,Health,Where establish speech low media fall gas pressure become.,"tonight, spring, order, here, season",1527874,1661,1,High,18-30
280,Home Insurance Plan 855,Home,Exist spring little surface common western good study employee price case participant.,"would, environment, local, quite, expect",1033836,21020,15,Low,18-30
281,Vehicle Insurance Plan 279,Vehicle,Send parent care floor heart government role trip source nature three language.,"like, interesting, huge, politics, prove",1280316,32463,20,Medium,18-30
282,Travel Insurance Plan 113,Travel,True thank to hit worker relationship need college future wait increase second above suddenly week peace.,"medical, nor, simple, wife, degree",1887322,40161,20,Medium,51-65
283,Health Insurance Plan 388,Health,Source year which director address summer father need general.,"under, moment, current, color, address",1509924,6389,5,High,31-50
284,Vehicle Insurance Plan 289,Vehicle,Benefit Mr study message those nature all kind someone pattern product talk kitchen.,"charge, happy, center, education, cut",92093,17511,15,High,31-50
285,Education Insurance Plan 513,Education,Decade nor party seek cut voice officer alone anything better husband carry sing.,"bar, nice, whose, suddenly, century",860868,26977,15,Medium,65+
286,Education Insurance Plan 192,Education,Front church worry throughout catch assume themselves section local of.,"somebody, imagine, turn, defense, these",491928,28600,10,Low,18-30
287,Life Insurance Plan 612,Life,Sort possible character suffer certainly fund maybe notice old employee college upon ten.,"fall, piece, just, myself, several",1380832,44180,10,Low,31-50
288,Vehicle Insurance Plan 263,Vehicle,Finish degree compare where per chair heart should rest must hit example.,"statement, standard, glass, I, imagine",1615000,21164,15,High,51-65
289,Life Insurance Plan 252,Life,Your choose more pattern poor budget fine hear get.,"expect, appear, seek, size, rather",1686662,816,10,Low,65+
290,Home Insurance Plan 479,Home,Model gas baby fine no someone little gas floor.,"evidence, leave, family, western, way",794172,33986,20,Low,65+
291,Vehicle Insurance Plan 527,Vehicle,Stop four hard protect pass kitchen lawyer almost change long sure full.,"financial, argue, help, magazine, official",223598,44875,15,High,31-50
292,Life Insurance Plan 958,Life,Identify lead stop least him teacher often serious fast particular reality.,"even, artist, discuss, fund, measure",1189106,46523,1,Medium,51-65
293,Vehicle Insurance Plan 186,Vehicle,Current think human my purpose cultural edge before.,"member, material, station, economy, value",559890,11700,15,Medium,18-30
294,Life Insurance Plan 983,Life,State world choose measure less design again movie seven.,"able, interesting, quality, condition, side",665744,37555,15,High,18-30
295,Education Insurance Plan 997,Education,Reflect beat production late buy list tough seven.,"friend, show, toward, effect, remember",381768,33377,10,Medium,65+
296,Health Insurance Plan 704,Health,They keep number character our next several process poor write skill which relationship factor.,"beautiful, truth, push, note, bill",576583,47067,15,Low,65+
297,Education Insurance Plan 900,Education,Gas minute understand difference admit role scene long west front economic today.,"agency, reflect, sure, cold, bad",777111,27473,10,High,18-30
298,Education Insurance Plan 583,Education,Treat agreement PM live economic yes bag federal.,"majority, bit, course, energy, market",1641287,9676,10,Low,18-30
299,Health Insurance Plan 191,Health,Should attention sort himself eye sister community local read hand mouth movie security set couple series.,"computer, read, never, use, person",1890387,8980,20,Medium,18-30
300,Travel Insurance Plan 938,Travel,Wait write history provide science wife most not yes any good it manager wait economic tonight.,"teach, type, investment, first, summer",990418,23331,5,Low,18-30
